ID;tahun_lahir;Pendidikan;Status_pernikahan;Pendapatan;jumlah_anak;jumlah_remaja;tanggal_pendaftaran;recency;Spent_wine;Spent_buah;Spent_daging;Spent_ikan;Spent_emas
5524;1957;Graduation;Single;58138;0;0;04/09/2012;58;635;88;546;172;88
2174;1954;Graduation;Single;46344;1;1;08/03/2014;38;11;1;6;2;6
4141;1965;Graduation;Together;71613;0;0;21/08/2013;26;426;49;127;111;42
6182;1984;Graduation;Together;26646;1;0;10/02/2014;26;11;4;20;10;5
5324;1981;PhD;Married;58293;1;0;19/01/2014;94;173;43;118;46;15
7446;1967;Master;Together;62513;0;1;09/09/2013;16;520;42;98;0;14
965;1971;Graduation;Divorced;55635;0;1;13/11/2012;34;235;65;164;50;27
6177;1985;PhD;Married;33454;1;0;08/05/2013;32;76;10;56;3;23
4855;1974;PhD;Together;30351;1;0;06/06/2013;19;14;0;24;3;2
5899;1950;PhD;Together;5648;1;1;13/03/2014;68;28;0;6;1;13
1994;1983;Graduation;Married;;1;0;15/11/2013;11;5;5;6;0;1
387;1976;Basic;Married;7500;0;0;13/11/2012;59;6;16;11;11;16
2125;1959;Graduation;Divorced;63033;0;0;15/11/2013;82;194;61;480;225;30
8180;1952;Master;Divorced;59354;1;1;15/11/2013;53;233;2;53;3;14
2569;1987;Graduation;Married;17323;0;0;10/10/2012;38;3;14;17;6;5
2114;1946;PhD;Single;82800;0;0;24/11/2012;23;1006;22;115;59;45
9736;1980;Graduation;Married;41850;1;1;24/12/2012;51;53;5;19;2;4
4939;1946;Graduation;Together;37760;0;0;31/08/2012;20;84;5;38;150;28
6565;1949;Master;Married;76995;0;1;28/03/2013;91;1012;80;498;0;176
2278;1985;2n Cycle;Single;33812;1;0;03/11/2012;86;4;17;19;30;39
9360;1982;Graduation;Married;37040;0;0;08/08/2012;41;86;2;73;69;48
5376;1979;Graduation;Married;2447;1;0;06/01/2013;42;1;1;1725;1;1
1993;1949;PhD;Married;58607;0;1;23/12/2012;63;867;0;86;0;19
4047;1954;PhD;Married;65324;0;1;11/01/2014;0;384;0;102;21;5
1409;1951;Graduation;Together;40689;0;1;18/03/2013;69;270;3;27;39;99
7892;1969;Graduation;Single;18589;0;0;02/01/2013;89;6;4;25;15;13
2404;1976;Graduation;Married;53359;1;1;27/05/2013;4;173;4;30;3;41
5255;1986;Graduation;Single;;1;0;20/02/2013;19;5;1;3;3;362
9422;1989;Graduation;Married;38360;1;0;31/05/2013;26;36;2;42;20;10
1966;1965;PhD;Married;84618;0;0;22/11/2013;96;684;100;801;21;0
6864;1989;Master;Divorced;10979;0;0;22/05/2014;34;8;4;10;2;4
3033;1963;Master;Together;38620;0;0;11/05/2013;56;112;17;44;34;89
5710;1970;Graduation;Together;40548;0;1;10/10/2012;31;110;0;5;2;3
7373;1952;PhD;Divorced;46610;0;2;29/10/2012;8;96;12;96;33;43
8755;1946;Master;Married;68657;0;0;20/02/2013;4;482;34;471;119;22
10738;1951;Master;Single;49389;1;1;29/08/2013;55;40;0;19;2;3
4339;1970;PhD;Married;67353;0;1;31/12/2013;37;702;17;151;0;35
10755;1976;2n Cycle;Married;23718;1;0;02/09/2013;76;6;3;14;15;36
8595;1973;Graduation;Widow;42429;0;1;11/02/2014;99;55;0;6;2;4
2968;1943;PhD;Divorced;48948;0;0;01/02/2013;53;437;8;206;160;42
8601;1980;Graduation;Married;80011;0;1;29/04/2013;3;421;76;536;82;102
503;1985;Master;Married;20559;1;0;12/03/2013;88;13;1;29;3;7
8430;1957;Graduation;Together;21994;0;1;24/12/2012;4;9;0;6;3;3
7281;1959;PhD;Single;;0;0;05/11/2013;80;81;11;50;3;39
2139;1975;Master;Married;7500;1;0;02/10/2013;19;3;1;10;3;12
1371;1976;Graduation;Single;79941;0;0;28/06/2014;72;123;164;266;227;174
9909;1996;2n Cycle;Married;7500;0;0;09/11/2012;24;3;18;14;15;50
7286;1968;Graduation;Together;41728;1;0;24/05/2013;92;13;6;15;3;13
7244;1951;Graduation;Single;;2;1;01/01/2014;96;48;5;48;6;7
6566;1954;PhD;Married;72550;1;1;08/11/2012;39;826;50;317;50;38
8614;1957;Graduation;Widow;65486;0;1;12/05/2014;29;245;19;125;37;14
4114;1964;Master;Married;79143;0;0;11/08/2012;2;650;37;780;27;32
1331;1977;Graduation;Single;35790;1;0;02/01/2013;54;12;6;20;30;3
2225;1977;Graduation;Divorced;82582;0;0;07/06/2014;54;510;120;550;156;241
9381;1978;Graduation;Married;66373;1;1;12/06/2013;57;328;9;124;12;109
6260;1955;Master;Together;82384;0;0;19/11/2012;55;984;51;432;180;190
10383;1966;Graduation;Divorced;70287;0;0;02/04/2013;30;295;35;482;121;40
7437;1988;Graduation;Single;27938;1;0;28/04/2014;31;13;0;8;2;5
8557;1982;Graduation;Single;;1;0;17/06/2013;57;11;3;22;2;6
8375;1968;PhD;Married;55954;0;1;03/03/2014;63;447;0;28;0;43
6853;1982;Master;Single;75777;0;0;04/07/2013;12;712;26;538;69;80
3076;1975;Graduation;Together;66653;1;1;07/09/2012;18;452;18;102;16;6
1012;1952;Graduation;Single;61823;0;1;18/02/2013;26;523;7;134;37;169
6518;1951;PhD;Widow;67680;0;1;11/06/2013;8;546;0;48;0;6
4137;1948;Graduation;Together;70666;0;0;06/12/2013;29;398;40;367;119;30
8082;1971;Graduation;Married;25721;1;0;21/05/2013;75;1;3;6;3;15
1386;1967;Graduation;Together;32474;1;1;11/05/2014;0;10;0;1;0;0
9369;1979;2n Cycle;Single;88194;0;1;19/03/2014;19;688;14;309;201;38
4477;1958;Graduation;Together;69096;0;1;27/09/2013;4;247;49;159;7;109
1357;1970;Graduation;Together;74854;1;2;08/04/2013;90;856;59;487;58;73
1402;1954;Master;Married;66991;0;0;11/09/2012;1;496;36;460;189;12
10629;1973;2n Cycle;Married;;1;0;14/09/2012;25;25;3;43;17;17
6312;1959;Graduation;Married;65031;0;1;17/03/2013;29;258;107;291;84;86
8132;1975;PhD;Married;60631;1;1;05/04/2013;88;565;6;65;0;19
1050;1952;Graduation;Married;28332;0;0;30/04/2014;58;14;10;13;4;9
5846;1977;Graduation;Divorced;40246;1;0;19/12/2012;68;2;1;6;2;1
1859;1972;Master;Married;75251;0;0;27/08/2012;34;721;111;925;97;18
